Date,PEP
2023-07-27,171.58029174804688
2023-07-28,173.20025634765625
2023-07-31,170.6064910888672
2023-08-01,170.0240478515625
2023-08-02,171.3800811767578
2023-08-03,170.29705810546875
2023-08-04,168.0036163330078
2023-08-07,170.08773803710938
2023-08-08,167.85800170898438
2023-08-09,167.43936157226562
2023-08-10,167.23004150390625
2023-08-11,167.4939422607422
2023-08-14,167.1117401123047
2023-08-15,165.0458221435547
2023-08-16,164.91842651367188
2023-08-17,162.40650939941406
2023-08-18,162.16078186035156
2023-08-21,161.1324005126953
2023-08-22,159.90377807617188
2023-08-23,162.10621643066406
2023-08-24,161.25070190429688
2023-08-25,163.2893524169922
2023-08-28,164.0447235107422
2023-08-29,164.66357421875
2023-08-30,164.8000946044922
2023-08-31,163.0633087158203
2023-09-01,160.68043518066406
2023-09-05,159.6173095703125
2023-09-06,160.13967895507812
2023-09-07,161.6702423095703
2023-09-08,161.55113220214844
2023-09-11,163.9889678955078
2023-09-12,163.38409423828125
2023-09-13,164.6763458251953
2023-09-14,166.096923828125
2023-09-15,164.822998046875
2023-09-18,164.40142822265625
2023-09-19,163.429931640625
2023-09-20,163.4849395751953
2023-09-21,160.73541259765625
2023-09-22,160.63461303710938
2023-09-25,159.7730712890625
2023-09-26,158.11422729492188
2023-09-27,155.4105682373047
2023-09-28,155.34640502929688
2023-09-29,155.2914276123047
2023-10-02,155.04397583007812
2023-10-03,153.69671630859375
2023-10-04,154.8057098388672
2023-10-05,146.73133850097656
2023-10-06,146.90545654296875
2023-10-09,147.88609313964844
2023-10-10,150.67225646972656
2023-10-11,149.0408935546875
2023-10-12,144.8800048828125
2023-10-13,146.6396942138672
2023-10-16,147.6294708251953
2023-10-17,146.97877502441406
2023-10-18,148.50015258789062
2023-10-19,147.1529083251953
2023-10-20,146.6396942138672
2023-10-23,146.7130126953125
2023-10-24,148.6468048095703
2023-10-25,148.79345703125
2023-10-26,147.93194580078125
2023-10-27,146.29141235351562
2023-10-30,148.72930908203125
2023-10-31,149.64578247070312
2023-11-01,151.10302734375
2023-11-02,152.8993682861328
2023-11-03,152.86268615722656
2023-11-06,152.7801971435547
2023-11-07,153.22012329101562
2023-11-08,153.4125518798828
2023-11-09,152.28530883789062
2023-11-10,152.98184204101562
2023-11-13,153.76087951660156
2023-11-14,154.07247924804688
2023-11-15,153.28431701660156
2023-11-16,153.7058868408203
2023-11-17,152.835205078125
2023-11-20,152.61524963378906
2023-11-21,153.788330078125
2023-11-22,155.0897979736328
2023-11-24,155.2272491455078
2023-11-27,154.26495361328125
2023-11-28,154.75982666015625
2023-11-29,153.20181274414062
2023-11-30,155.41354370117188
2023-12-01,155.782958984375
2023-12-04,156.19851684570312
2023-12-05,155.09033203125
2023-12-06,154.6932373046875
2023-12-07,154.64706420898438
2023-12-08,153.0032501220703
2023-12-11,154.97952270507812
2023-12-12,155.57980346679688
2023-12-13,158.84893798828125
2023-12-14,155.37661743164062
2023-12-15,154.22225952148438
2023-12-18,155.98611450195312
2023-12-19,155.09957885742188
2023-12-20,153.01246643066406
2023-12-21,154.19454956054688
2023-12-22,154.8502197265625
2023-12-26,155.93994140625
2023-12-27,156.43861389160156
2023-12-28,156.42938232421875
2023-12-29,156.844970703125
2024-01-02,159.68008422851562
2024-01-03,159.71701049804688
2024-01-04,158.35025024414062
2024-01-05,156.01382446289062
2024-01-08,156.1708221435547
2024-01-09,154.37925720214844
2024-01-10,154.14837646484375
2024-01-11,153.41880798339844
2024-01-12,154.47158813476562
2024-01-16,153.45578002929688
2024-01-17,153.7051239013672
2024-01-18,154.37925720214844
2024-01-19,153.09559631347656
2024-01-22,152.47686767578125
2024-01-23,154.8132781982422
2024-01-24,152.92938232421875
2024-01-25,153.81593322753906
2024-01-26,155.01644897460938
