Date,HESAY
2023-04-11,200.52342224121094
2023-04-12,204.4304656982422
2023-04-13,210.4174041748047
2023-04-14,211.05885314941406
2023-04-17,206.56863403320312
2023-04-18,211.2823944091797
2023-04-19,209.76625061035156
2023-04-20,212.3806610107422
2023-04-21,214.2078399658203
2023-04-24,216.2002410888672
2023-04-25,211.93748474121094
2023-04-26,209.94570922851562
2023-04-27,213.8218231201172
2023-04-28,212.09368896484375
2023-05-01,211.23451232910156
2023-05-02,210.9025421142578
2023-05-03,214.4271697998047
2023-05-04,213.51918029785156
2023-05-05,214.89584350585938
2023-05-08,215.66712951660156
2023-05-09,212.77713012695312
2023-05-10,209.91641235351562
2023-05-11,211.859375
2023-05-12,209.04747009277344
2023-05-15,210.0628662109375
2023-05-16,209.3208465576172
2023-05-17,210.50225830078125
2023-05-18,209.61375427246094
2023-05-19,212.05462646484375
2023-05-22,213.9194793701172
2023-05-23,197.85841369628906
2023-05-24,197.46788024902344
2023-05-25,201.1975860595703
2023-05-26,205.3275604248047
2023-05-30,205.0932159423828
2023-05-31,199.35223388671875
2023-06-01,200.68008422851562
2023-06-02,204.6636199951172
2023-06-05,200.32859802246094
2023-06-06,200.25050354003906
2023-06-07,196.25718688964844
2023-06-08,200.46531677246094
2023-06-09,201.470947265625
2023-06-12,208.5202178955078
2023-06-13,208.9107666015625
2023-06-14,207.60244750976562
2023-06-15,208.46163940429688
2023-06-16,211.53717041015625
2023-06-20,207.96368408203125
2023-06-21,206.020751953125
2023-06-22,204.0582733154297
2023-06-23,202.3691864013672
2023-06-26,204.0582733154297
2023-06-27,205.80593872070312
2023-06-28,206.010986328125
2023-06-29,208.35423278808594
2023-06-30,212.45494079589844
2023-07-03,208.64715576171875
2023-07-05,204.6538543701172
2023-07-06,196.5403594970703
2023-07-07,199.62562561035156
2023-07-10,201.91030883789062
2023-07-11,206.2355499267578
2023-07-12,212.1034698486328
2023-07-13,215.76478576660156
2023-07-14,218.2642364501953
2023-07-17,210.00428771972656
2023-07-18,206.79209899902344
2023-07-19,206.108642578125
2023-07-20,204.54644775390625
2023-07-21,208.393310546875
2023-07-24,205.2396697998047
2023-07-25,202.88665771484375
2023-07-26,201.61740112304688
2023-07-27,205.62045288085938
2023-07-28,216.47752380371094
2023-07-31,216.26272583007812
2023-08-01,212.0351104736328
2023-08-02,207.64151000976562
2023-08-03,205.8840789794922
2023-08-04,205.2299041748047
2023-08-07,206.21604919433594
2023-08-08,204.63433837890625
2023-08-09,204.42929077148438
2023-08-10,209.7211456298828
2023-08-11,206.14767456054688
2023-08-14,206.14767456054688
2023-08-15,202.74998474121094
2023-08-16,204.09730529785156
2023-08-17,198.30755615234375
2023-08-18,198.04393005371094
2023-08-21,200.55316162109375
2023-08-22,199.07884216308594
2023-08-23,201.7150421142578
2023-08-24,197.22381591796875
2023-08-25,199.7818603515625
2023-08-28,203.0135498046875
2023-08-29,206.6163330078125
2023-08-30,206.030517578125
2023-08-31,201.2854461669922
2023-09-01,198.64927673339844
2023-09-05,195.46636962890625
2023-09-06,192.34201049804688
2023-09-07,192.176025390625
2023-09-08,192.63491821289062
2023-09-11,195.05628967285156
2023-09-12,192.4787139892578
2023-09-13,191.27780151367188
2023-09-14,195.8959503173828
2023-09-15,197.38975524902344
2023-09-18,195.2417755126953
2023-09-19,193.25001525878906
2023-09-20,194.2068634033203
2023-09-21,182.3636474609375
2023-09-22,184.9217071533203
2023-09-25,179.0440673828125
2023-09-26,175.87091064453125
2023-09-27,173.99632263183594
2023-09-28,177.47213745117188
2023-09-29,178.13604736328125
2023-10-02,175.9490203857422
2023-10-03,174.38685607910156
2023-10-04,178.448486328125
2023-10-05,178.73162841796875
2023-10-06,182.52963256835938
2023-10-09,179.38577270507812
2023-10-10,180.9186553955078
2023-10-11,181.3482666015625
2023-10-12,176.18333435058594
2023-10-13,174.5821075439453
2023-10-16,175.8318328857422
2023-10-17,173.73269653320312
2023-10-18,172.61965942382812
2023-10-19,172.23887634277344
2023-10-20,170.53024291992188
2023-10-23,174.1427459716797
2023-10-24,179.43460083007812
2023-10-25,182.4027099609375
2023-10-26,179.06358337402344
2023-10-27,179.15145874023438
2023-10-30,182.31484985351562
2023-10-31,182.6370391845703
2023-11-01,184.16993713378906
2023-11-02,189.29580688476562
2023-11-03,190.2819061279297
2023-11-06,189.65704345703125
2023-11-07,189.48130798339844
2023-11-08,193.7870330810547
2023-11-09,193.84559631347656
2023-11-10,194.06039428710938
2023-11-13,194.2849578857422
2023-11-14,203.03311157226562
2023-11-15,204.77101135253906
2023-11-16,204.30238342285156
